epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,9067.83,0.85988,1.52467,0.57389,1.02309,0,0.93473,0.88271,0.93361,0.74934,0.93488,0.87644,0.92529,0.6252,0.75524,1.28474,0.45328,0.92091,0,0.000445756,0.000445756,0.000445756
39,9303.74,0.84436,1.51087,0.56822,1.01816,0,0.93784,0.88911,0.93591,0.75412,0.93504,0.88379,0.9274,0.63246,0.74776,1.26201,0.44079,0.91425,0,0.000412749,0.000412749,0.000412749
40,9547.26,0.8457,1.51542,0.5641,1.01813,0,0.94261,0.88433,0.9366,0.75486,0.939,0.87833,0.92872,0.63551,0.74406,1.25174,0.43703,0.91305,0,0.000379743,0.000379743,0.000379743
41,9789.15,0.81685,1.42698,0.50687,1.006,0,0.94376,0.88716,0.93901,0.7576,0.94111,0.88186,0.93028,0.63645,0.73863,1.25117,0.4348,0.9134,0,0.000346736,0.000346736,0.000346736
42,10027.8,0.79588,1.39425,0.48864,0.99487,0,0.94318,0.89146,0.94043,0.75963,0.9421,0.88422,0.9328,0.64088,0.73309,1.23409,0.42916,0.90773,0,0.000313729,0.000313729,0.000313729
43,10266.9,0.78478,1.37965,0.47644,0.98844,0,0.94271,0.8941,0.94157,0.76456,0.9415,0.88956,0.9344,0.63953,0.72395,1.22764,0.42321,0.90557,0,0.000280723,0.000280723,0.000280723
44,10504.7,0.77156,1.36301,0.46969,0.98549,0,0.94122,0.89726,0.94283,0.76879,0.94282,0.88909,0.93595,0.64525,0.71178,1.21371,0.4177,0.90035,0,0.000247716,0.000247716,0.000247716
45,10739.1,0.76189,1.35396,0.4613,0.9777,0,0.94501,0.8962,0.94351,0.77153,0.94296,0.89124,0.93624,0.64806,0.70604,1.20702,0.40859,0.89699,0,0.00021471,0.00021471,0.00021471
46,10975.6,0.75218,1.32564,0.44522,0.97168,0,0.94737,0.90069,0.94473,0.77475,0.94652,0.8943,0.9379,0.64719,0.70054,1.19961,0.40156,0.89292,0,0.000181703,0.000181703,0.000181703
47,11211.8,0.75279,1.3302,0.44491,0.97158,0,0.94808,0.90086,0.94511,0.77812,0.9465,0.89513,0.93876,0.65178,0.69266,1.19033,0.397,0.88929,0,0.000148696,0.000148696,0.000148696
48,11447.5,0.73656,1.31391,0.43789,0.96505,0,0.94498,0.90779,0.94616,0.78048,0.94084,0.90275,0.93841,0.65274,0.68715,1.18542,0.39084,0.88633,0,0.00011569,0.00011569,0.00011569
49,11683.4,0.73116,1.31081,0.42852,0.96227,0,0.94927,0.90607,0.94723,0.78272,0.94579,0.90248,0.94049,0.65566,0.6824,1.17709,0.38732,0.88466,0,8.26832e-05,8.26832e-05,8.26832e-05
50,11920.3,0.72694,1.30774,0.42356,0.95992,0,0.94822,0.90812,0.94757,0.78296,0.94866,0.89929,0.9404,0.65586,0.67973,1.17646,0.38468,0.88399,0,4.96766e-05,4.96766e-05,4.96766e-05
